A股代码,A股简称,H股代码,H股简称,最新价,总市值(亿),每股收益,每股净资产,市净率,股息率(%),动态市盈率,静态市盈率,市盈率TTM,成立日期,上市日期,所属市场,所属行业,入选指数,主营业务
3036,泰坦股份,,,30.54,66.05,1.76,31.28,4.65,144.4,135.14,139.5,80.51,1998-08-12,2021-01-28,深交所主板,专用设备制造业,国证Ａ指,纺织机械设备的研发、生产和销售。
3037,三和管桩,,,7.05,42.23,1.24,11.61,1.51,4.44,49.75,167.24,39.36,2003-11-07,2021-02-04,深交所主板,非金属矿物制品业,"国证2000,国证Ａ指",预应力混凝土管桩产品研发、生产、销售。
3038,鑫铂股份,,,14.41,23.52,0.36,21.86,1.17,-22.15,90.14,20.85,396.87,2013-08-29,2021-02-10,深交所主板,有色金属冶炼和压延加工业,"国证2000,国证Ａ指",工业铝型材、工业铝部件和建筑铝型材的研发、生产与销售。
3039,顺控发展,,,15.28,94.36,5.33,18.73,3.25,15.76,31.05,31.05,31.05,1992-09-23,2021-03-08,深交所主板,水的生产和供应业,"国证Ａ指,深市精选",自来水制售、供排水管网工程和垃圾焚烧发电。
3040,楚天龙,,,15.5,70.81,0.3,29.89,5.1,17.96,1217.32,331.6,-121.92,2002-10-16,2021-03-22,深交所主板,计算机、通信和其他电子设备制造业,"国证2000,国证Ａ指,深市精选,中小创新",多领域高端智能卡及配套软件、智能终端设备、数字档案、应用平台系统及安全解决方案的提供商。
3041,真爱美家,,,62.22,85.13,11.82,74.0,6.12,132.42,35.84,118.21,29.18,2010-12-14,2021-04-06,深交所主板,纺织业,国证Ａ指,家用纺织品研发、设计、生产与销售。
3042,中农联合,,,16.42,20.91,-2.85,27.95,1.78,6.9,-21.03,-19.11,-39.17,2006-12-19,2021-04-06,深交所主板,化学原料和化学制品制造业,国证Ａ指,农药中间体、原药及制剂产品的研发、生产和销售。
3043,华亚智能,,,56.48,47.35,2.85,58.23,4.38,42.73,118.77,93.61,115.52,1998-12-21,2021-04-06,深交所主板,金属制品业,"国证2000,国证Ａ指",精密金属制造服务、生产物流智能化方案的设计与优化以及相关智能装备系统的研发、制造、集成和销售。
3816,中国广核,1816.0,中广核电力,4.66,1833.02,2.91,4.7,1.91,33.72,24.1,24.1,24.1,2014-03-25,2019-08-26,深交所主板,电力、热力生产和供应业,"ESG 300,分析师指数,国证Ａ指,国证环保,沪深300,巨潮100,巨潮大盘,内地低碳,深成指R,深证100,深证100R,深证300,深证成指,深证环保,深证新兴,中创100,中小100,中小300,中小新兴,中证央企",建设、运营及管理核电站，销售该等核电站所发电力，组织开发核电站的设计及科研工作。
300001,特锐德,,,31.08,321.65,5.1,33.75,3.84,26.23,26.39,26.39,26.39,2004-03-16,2009-10-30,深交所创业板,电气机械和器材制造业,"创业板指,创业新兴,国证Ａ指,巨潮小盘,深成指R,深证300,深证成指,深证新兴,中证500",以户外箱式电力设备为主、户内开关柜为辅的成套变配电产品，致力于研发设计制造220kV及以下的变配电一二次产品及相关技术服务。
300002,神州泰岳,,,9.44,172.05,12.34,15.95,2.43,-18.97,23.26,23.26,23.26,2001-05-18,2009-10-30,深交所创业板,互联网和相关服务,"创业板50,创业板指,创业新兴,国证Ａ指,巨潮小盘,深成指R,深证成指,深证新兴,中证500",物联网通信、人工智能/大数据、ICT运营管理、手机游戏。
300003,乐普医疗,,,14.84,234.31,3.38,21.6,1.66,35.43,32.95,28.44,27.71,2008-01-14,2009-10-30,深交所创业板,专用设备制造业,"创业板指,创业新兴,国证Ａ指,巨潮小盘,深成指R,深证300,深证成指,深证新兴,央视50,中证500",医疗器械、医药、医疗服务和新型医疗业态。
300004,南风股份,,,13.69,65.71,2.89,17.88,3.69,90.93,99.6,88.22,147.32,1999-05-24,2009-10-30,深交所创业板,通用设备制造业,国证Ａ指,通风与空气处理系统、能源工程用特种管件、重型金属3D打印技术的研发、生产、销售。
300005,探路者,,,14.95,131.05,0.3,15.43,6.3,75.92,348.46,123.91,299.92,2008-07-11,2009-10-30,深交所创业板,纺织服装、服饰业,"国证2000,国证Ａ指","""探路者""品牌户外用品的研发设计、组织外包生产、销售。"
300006,莱美药业,,,6.21,65.57,-4.83,6.67,3.77,85.93,-48.24,-48.68,-109.19,1999-09-06,2009-10-30,深交所创业板,医药制造业,"国证2000,国证Ａ指",抗感染药和特色专科用药（抗肿瘤药、肠外营养药等）
300007,汉威科技,,,43.04,121.78,2.94,73.0,4.81,10.05,88.74,88.74,88.74,1998-09-11,2009-10-30,深交所创业板,软件和信息技术服务业,"国证2000,国证Ａ指,中小创新",传感器业务、物联网综合解决方案、居家智能和健康业务
300008,天海防务,,,8.13,133.92,5.03,10.49,5.82,38.03,47.08,47.08,47.08,2001-10-29,2009-10-30,深交所创业板,铁路、船舶、航空航天和其他运输设备制造业,"国证2000,国证Ａ指,中小创新",防务装备及相关业务、船舶与海洋工程业务、清洁能源业务。
